word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0018768,0.0050856,1.0362694,0.996332,,,,,,,,,,,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,2,2,0,b,1,1.5605781,None,0,2,2,3,5.828773,,,,,,5.8181467,5.828773,6.3290583,6.3290583,6.3290583,7.8964876,b,1,1.5605781,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,3,3,0,r,1,0.7792502,None,0,3,3,0,7.912542,,,,,,7.9017086,7.912542,8.4125343,8.4125343,8.4125343,9.1967125,r,1,0.7792502,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,6,2,1,b,1,0.718202,None,1,2,6,3,12.4624853,,,,,,12.4508114,12.4624853,12.9459609,12.9459609,12.9459609,13.6796145,b,1,0.718202,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,7,3,1,r,1,0.725328,None,1,3,7,0,13.6957745,,,,,,13.684373,13.6957745,14.1790853,14.1790853,14.1790853,14.9132449,r,1,0.725328,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,8,0,2,r,1,0.8633328,None,2,0,8,0,14.9290776,,,,,,14.9143,14.9290776,15.4124017,15.4124017,15.4124017,16.2794968,r,1,0.8633328,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,10,2,2,b,1,0.6278491,None,2,2,10,3,18.0458312,,,,,,18.0308039,18.0458312,18.5290522,18.5290522,18.5290522,19.1631818,b,1,0.6278491,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,14,2,3,b,1,0.7390407,None,3,2,14,3,22.9289933,,,,,,22.9140988,22.9289933,23.4125016,23.4125016,23.4125016,24.1630349,b,1,0.7390407,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,15,3,3,r,1,0.7175384,None,3,3,15,0,24.1790833,,,,,,24.1676554,24.1790833,24.6625521,24.6625521,24.6625521,25.3964935,r,1,0.7175384,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,16,0,4,b,1,0.8116823,None,4,0,16,3,25.4129987,,,,,,25.4013776,25.4129987,25.8957432,25.8957432,25.8957432,26.7131367,b,1,0.8116823,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,17,1,4,r,1,0.6252547,None,4,1,17,0,26.7290531,,,,,,26.7176321,26.7290531,27.2125435,27.2125435,27.2125435,27.846778,r,1,0.6252547,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,21,1,5,r,1,0.9545068,None,5,1,21,0,31.9789998,,,,,,31.9680368,31.9789998,32.4625359,32.4625359,32.4625359,33.4295682,r,1,0.9545068,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,22,2,5,b,1,0.6364222,None,5,2,22,3,33.4456211,,,,,,33.4342285,33.4456211,33.9290803,33.9290803,33.9290803,34.5798949,b,1,0.6364222,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,25,1,6,b,1,0.5713046,None,6,1,25,3,36.9623201,,,,,,36.9478481,36.9623201,37.4625043,37.4625043,37.4625043,38.0465897,b,1,0.5713046,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,27,3,6,r,1,1.0808002,None,6,3,27,0,40.2458776,,,,,,40.2308506,40.2458776,40.7291288,40.7291288,40.7291288,41.8129691,r,1,1.0808002,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,30,2,7,b,1,1.4327775,None,7,2,30,3,44.5623437,,,,,,44.5473155,44.5623437,45.0457273,45.0457273,45.0457273,46.4797918,b,1,1.4327775,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,31,3,7,r,1,1.015111,None,7,3,31,0,46.4958575,,,,,,46.4842891,46.4958575,46.9790993,46.9790993,46.9790993,47.9963504,r,1,1.015111,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,33,1,8,r,1,0.8495561,None,8,1,33,0,49.0458404,,,,,,49.0308545,49.0458404,49.5455265,49.5455265,49.5455265,50.3969393,r,1,0.8495561,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,35,3,8,r,0,0.2174649,None,8,3,35,3,51.6622369,,,,,,51.6472974,51.6622369,52.1458572,52.1458572,52.1458572,52.3640706,r,0,0.2174649,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,blue,C,b,36,0,9,b,1,0.582331,None,9,0,36,3,52.3793368,,,,,,52.3650284,52.3793368,52.8792819,52.8792819,52.8792819,53.463108,b,1,0.582331,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,red,C,r,39,3,9,r,1,0.8785301,None,9,3,39,0,57.5125756,,,,,,57.5012175,57.5125756,57.9959326,57.9959326,57.9959326,58.8796986,r,1,0.8785301,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
BLUE,red,I,r,0,0,0,r,1,2.4296986,None,0,0,0,2,1.0362694,,,,,,1.0321434,1.0362694,1.5125356,1.5125356,1.5125356,3.9555494,r,1,2.4296986,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
RED,blue,I,b,1,1,0,b,1,1.3492877,None,0,1,1,1,3.9724927,,,,,,3.9692658,3.9724927,4.4624957,4.4624957,4.4624957,5.8133709,b,1,1.3492877,None,,,,,1,1,2025-08-18_23h28.43.330,exp 0.1 trial stroop task,,2025.1.1,60.1680011,2025-08-18 23h28.51.180130 +0530
