word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,C,b,1,1,0,b,1,0.3895598,None,0,1,1,3,2.3822904,,,,,,2.3788696,2.3822904,2.8736126,2.8736126,2.8736126,3.2742425,b,1,0.3895598,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,2,2,0,r,1,0.3267481,None,0,2,2,0,3.2905349,,,,,,3.2789817,3.2905349,3.7737631,3.7737631,3.7737631,4.107438,r,1,0.3267481,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,6,2,1,b,1,0.4076997,None,1,2,6,3,6.9070059,,,,,,6.892152,6.9070059,7.3904116,7.3904116,7.3904116,7.8077787,b,1,0.4076997,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,7,3,1,r,1,0.3518781,None,1,3,7,0,7.8238324,,,,,,7.8124238,7.8238324,8.3072056,8.3072056,8.3072056,8.6744876,r,1,0.3518781,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,8,0,2,b,1,0.4059469,None,2,0,8,3,8.6905404,,,,,,8.6792589,8.6905404,9.1736077,9.1736077,9.1736077,9.5912589,b,1,0.4059469,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,9,1,2,r,1,0.5124094,None,2,1,9,0,9.6071909,,,,,,9.5962022,9.6071909,10.0905752,10.0905752,10.0905752,10.6078368,r,1,0.5124094,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,14,2,3,r,1,0.63826,None,3,2,14,0,16.957114,,,,,,16.9456009,16.957114,17.44087,17.44087,17.44087,18.0912368,r,1,0.63826,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,15,3,3,b,1,0.4173692,None,3,3,15,3,18.1072218,,,,,,18.0966172,18.1072218,18.5905549,18.5905549,18.5905549,19.024351,b,1,0.4173692,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,17,1,4,b,1,0.4701428,None,4,1,17,3,19.95714,,,,,,19.9455021,19.95714,20.4405987,20.4405987,20.4405987,20.9249162,b,1,0.4701428,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,19,3,4,r,1,0.3161052,None,4,3,19,0,21.7739554,,,,,,21.7626227,21.7739554,22.2736736,22.2736736,22.2736736,22.5913635,r,1,0.3161052,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,21,1,5,r,1,0.3408627,None,5,1,21,0,23.507083,,,,,,23.495675,23.507083,23.990427,23.990427,23.990427,24.3412813,r,1,0.3408627,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,23,3,5,b,1,0.3010643,None,5,3,23,3,25.2905444,,,,,,25.2795797,25.2905444,25.773761,25.773761,25.773761,26.091596,b,1,0.3010643,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,24,0,6,r,1,0.3493494,None,6,0,24,0,26.1071093,,,,,,26.0962791,26.1071093,26.6071632,26.6071632,26.6071632,26.9578881,r,1,0.3493494,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,27,3,6,b,1,0.3359285,None,6,3,27,3,28.8573234,,,,,,28.8458118,28.8573234,29.3404827,29.3404827,29.3404827,29.6915059,b,1,0.3359285,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,29,1,7,r,1,0.4142929,None,7,1,29,0,30.5572214,,,,,,30.5423098,30.5572214,31.0571143,31.0571143,31.0571143,31.4738658,r,1,0.4142929,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,31,3,7,b,1,0.3420633,None,7,3,31,3,32.3240279,,,,,,32.3084203,32.3240279,32.8067251,32.8067251,32.8067251,33.1569955,b,1,0.3420633,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,33,1,8,r,1,0.3753337,None,8,1,33,0,34.139971,,,,,,34.1285099,34.139971,34.6235912,34.6235912,34.6235912,35.0081108,r,1,0.3753337,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,35,3,8,b,1,0.3845027,None,8,3,35,3,35.9904461,,,,,,35.9800424,35.9904461,36.473927,36.473927,36.473927,36.8744351,b,1,0.3845027,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,red,C,r,37,1,9,r,1,0.3325516,None,9,1,37,0,37.7239505,,,,,,37.7090869,37.7239505,38.2070559,38.2070559,38.2070559,38.5413261,r,1,0.3325516,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,blue,C,b,39,3,9,b,1,0.3453903,None,9,3,39,3,39.3568618,,,,,,39.3422273,39.3568618,39.8403738,39.8403738,39.8403738,40.1911371,b,1,0.3453903,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
RED,blue,I,b,0,0,0,b,1,0.8367297,None,0,0,0,1,1.0253493,,,,,,1.0202446,1.0253493,1.5071969,1.5071969,1.5071969,2.3672795,b,1,0.8367297,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
BLUE,red,I,r,3,3,0,r,1,0.3842161,None,0,3,3,2,4.1233971,,,,,,4.111966,4.1233971,4.6071839,4.6071839,4.6071839,5.0077807,r,1,0.3842161,None,,,,,4,1,2025-08-26_16h34.09.457,exp 0.1 trial stroop task,,2025.1.1,59.96095341,2025-08-26 16h34.15.604539 +0530
