word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,C,b,1,1,0,b,1,0.9139832,None,0,1,1,3,3.0348369,,,,,,3.0314352,3.0348369,3.5310759,3.5310759,3.5310759,4.4482176,b,1,0.9139832,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,2,2,0,r,1,0.4737718,None,0,2,2,0,4.4642391,,,,,,4.4535493,4.4642391,4.9476322,4.9476322,4.9476322,5.4317751,r,1,0.4737718,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,4,0,1,b,1,0.3626367,None,1,0,4,3,6.3642814,,,,,,6.3493661,6.3642814,6.8643651,6.8643651,6.8643651,7.2314212,b,1,0.3626367,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,5,1,1,r,1,0.3080106,None,1,1,5,0,7.2475424,,,,,,7.2362819,7.2475424,7.7307887,7.7307887,7.7307887,8.048296,r,1,0.3080106,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,8,0,2,r,1,0.4881331,None,2,0,8,0,10.0142959,,,,,,10.0028626,10.0142959,10.5141114,10.5141114,10.5141114,11.0150851,r,1,0.4881331,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,10,2,2,b,1,0.5290185,None,2,2,10,3,11.930917,,,,,,11.9203172,11.930917,12.4148871,12.4148871,12.4148871,12.9480151,b,1,0.5290185,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,14,2,3,b,0,0.3904625,None,3,2,14,0,15.9141673,,,,,,15.9032144,15.9141673,16.4142029,16.4142029,16.4142029,16.8147043,b,0,0.3904625,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,15,3,3,b,1,1.8653228,None,3,3,15,3,16.8306308,,,,,,16.8200938,16.8306308,17.3143703,17.3143703,17.3143703,19.1814021,b,1,1.8653228,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,17,1,4,r,1,0.3854814,None,4,1,17,0,20.3141542,,,,,,20.2997353,20.3141542,20.8143169,20.8143169,20.8143169,21.2147993,r,1,0.3854814,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,18,2,4,b,1,0.4709297,None,4,2,18,3,21.2309219,,,,,,21.2202585,21.2309219,21.7143918,21.7143918,21.7143918,22.1984147,b,1,0.4709297,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,21,1,5,b,1,0.4047451,None,5,1,21,3,24.2477227,,,,,,24.2326678,24.2477227,24.7308898,24.7308898,24.7308898,25.1486152,b,1,0.4047451,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,22,2,5,r,1,0.3824601,None,5,2,22,0,25.1644062,,,,,,25.1534592,25.1644062,25.6644022,25.6644022,25.6644022,26.0485315,r,1,0.3824601,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,26,2,6,r,1,0.508295,None,6,2,26,0,29.2977321,,,,,,29.2827637,29.2977321,29.780845,29.780845,29.780845,30.2985282,r,1,0.508295,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,27,3,6,b,1,0.3649488,None,6,3,27,3,30.3142363,,,,,,30.3037546,30.3142363,30.7976558,30.7976558,30.7976558,31.1649355,b,1,0.3649488,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,28,0,7,b,1,0.5185919,None,7,0,28,3,31.1810072,,,,,,31.1658925,31.1810072,31.6645384,31.6645384,31.6645384,32.1984182,b,1,0.5185919,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,30,2,7,r,1,0.3588922,None,7,2,30,0,33.0309823,,,,,,33.0195756,33.0309823,33.514329,33.514329,33.514329,33.8815508,r,1,0.3588922,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,32,0,8,b,1,0.4565128,None,8,0,32,3,34.881009,,,,,,34.8728089,34.881009,35.3809086,35.3809086,35.3809086,35.8483307,b,1,0.4565128,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
RED,red,C,r,33,1,8,r,1,0.5091938,None,8,1,33,0,35.8643585,,,,,,35.8536768,35.8643585,36.3476863,36.3476863,36.3476863,36.8651723,r,1,0.5091938,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
BLUE,blue,C,b,36,0,9,b,1,0.8107659,None,9,0,36,3,39.781012,,,,,,39.7701448,39.781012,40.2644093,40.2644093,40.2644093,41.0818455,b,1,0.8107659,None,,,,,3,1,2025-08-26_16h27.17.866,exp 0.1 trial stroop task,,2025.1.1,59.97983478,2025-08-26 16h27.24.380188 +0530
