reward_today,future_reward,delay,key_resp.keys,k,,,,Mean of all
40,55,62,t,0.225806452,0.762000762,,,0.37206141
11,30,7,l,2.571428571,,,,
49,60,89,t,0.112359551,,,,
67,75,119,t,0.058823529,,,,
78,80,162,t,0.00617284,0.094983379,,,
15,35,13,l,1.461538462,,,,
27,50,21,l,1.047619048,,,,
67,75,119,t,0.058823529,,,,
78,80,162,t,0.00617284,0.094983379,,,
15,35,13,l,1.461538462,,,,
27,50,21,l,1.047619048,,,,
49,60,89,t,0.112359551,0.537517031,,,
11,30,7,l,2.571428571,,,,
40,55,62,t,0.225806452,,,,
49,60,89,t,0.112359551,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,0.388922234,,,
11,30,7,l,2.571428571,,,,
15,35,13,l,1.461538462,,,,
27,50,21,l,1.047619048,,,,
78,80,162,t,0.00617284,,,,
49,60,89,t,0.112359551,0.343088918,,,
27,50,21,l,1.047619048,,,,
78,80,162,t,0.00617284,0.094983379,,,
15,35,13,l,1.461538462,,,,
67,75,119,t,0.058823529,0.388922234,,,
11,30,7,l,2.571428571,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,,,,
40,55,62,t,0.225806452,0.486373457,,,
27,50,21,l,1.047619048,,,,
11,30,7,l,2.571428571,,,,
78,80,162,t,0.00617284,,,,
49,60,89,t,0.112359551,0.405237961,,,
15,35,13,l,1.461538462,,,,
67,75,119,t,0.058823529,,,,
78,80,162,t,0.00617284,,,,
40,55,62,t,0.225806452,0.574477862,,,
15,35,13,l,1.461538462,,,,
11,30,7,l,2.571428571,,,,
27,50,21,l,1.047619048,,,,
49,60,89,t,0.112359551,0.537517031,,,
11,30,7,l,2.571428571,,,,
15,35,13,l,1.461538462,,,,
27,50,21,l,1.047619048,,,,
78,80,162,t,0.00617284,,,,
49,60,89,t,0.112359551,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,,,,
49,60,89,t,0.112359551,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,0.388922234,,,
11,30,7,l,2.571428571,,,,
15,35,13,l,1.461538462,,,,
78,80,162,t,0.00617284,0.080416318,,,
27,50,21,l,1.047619048,,,,
49,60,89,t,0.112359551,,,,
78,80,162,t,0.00617284,0.125988158,,,
11,30,7,l,2.571428571,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,,,,
15,35,13,t,1.461538462,1.237390614,,,
27,50,21,l,1.047619048,,,,
15,35,13,l,1.461538462,,,,
11,30,7,l,2.571428571,,,,
78,80,162,t,0.00617284,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,,,,
49,60,89,t,0.112359551,0.343088918,,,
27,50,21,l,1.047619048,,,,
15,35,13,l,1.461538462,,,,
78,80,162,t,0.00617284,,,,
49,60,89,t,0.112359551,,,,
40,55,62,t,0.225806452,,,,
27,50,21,t,1.047619048,,,,
67,75,119,t,0.058823529,0.388922234,,,
11,30,7,l,2.571428571,,,,
67,75,119,t,0.058823529,,,,
78,80,162,t,0.00617284,0.094983379,,,
15,35,13,l,1.461538462,,,,
49,60,89,t,0.112359551,0.343088918,,,
27,50,21,l,1.047619048,,,,
40,55,62,t,0.225806452,,,,
11,30,7,t,2.571428571,,,,
67,75,119,t,0.058823529,,,,
11,30,7,t,2.571428571,,,,
49,60,89,t,0.112359551,0.405237961,,,
15,35,13,l,1.461538462,,,,
40,55,62,t,0.225806452,,,,
78,80,162,t,0.00617284,0.080416318,,,
27,50,21,l,1.047619048,,,,
15,35,13,l,1.461538462,,,,
27,50,21,l,1.047619048,,,,
78,80,162,t,0.00617284,,,,
40,55,62,t,0.225806452,,,,
67,75,119,t,0.058823529,0.388922234,,,
11,30,7,l,2.571428571,,,,
49,60,89,t,0.112359551,0.343088918,,,
27,50,21,l,1.047619048,,,,
40,55,62,t,0.225806452,,,,
