13.8391 	EXP 	grating: ori = np.float64(-10.0)
13.8391 	EXP 	fixation: autoDraw = True
13.9395 	EXP 	Device response: <KeyPress from None: t=13.811609199998202, value=left, duration=0.12231330000213347>
14.3229 	INFO 	Keyboard events cleared
14.3227 	EXP 	grating: autoDraw = True
14.3392 	EXP 	fixation: autoDraw = False
14.6229 	EXP 	grating: autoDraw = False
14.8902 	EXP 	Device response: <KeyPress from None: t=14.888280300001497, value=left, duration=None>
14.8918 	DATA 	Keypress: left
14.9055 	EXP 	fixation: autoDraw = False
14.9055 	EXP 	grating: autoDraw = False
14.9055 	EXP 	grating: ori = np.float64(-10.0)
14.9055 	EXP 	fixation: autoDraw = True
15.0058 	EXP 	Device response: <KeyPress from None: t=14.888280300001497, value=left, duration=0.10414679998939391>
15.4057 	INFO 	Keyboard events cleared
15.4055 	EXP 	fixation: autoDraw = False
15.4055 	EXP 	grating: autoDraw = True
15.7061 	EXP 	grating: autoDraw = False
15.8899 	EXP 	Device response: <KeyPress from None: t=15.885888299992075, value=left, duration=None>
15.8914 	DATA 	Keypress: left
15.9058 	EXP 	fixation: autoDraw = False
15.9058 	EXP 	grating: autoDraw = False
15.9058 	EXP 	grating: ori = np.float64(9.0)
15.9058 	EXP 	fixation: autoDraw = True
16.0063 	EXP 	Device response: <KeyPress from None: t=15.885888299992075, value=left, duration=0.11681780000799336>
16.3892 	INFO 	Keyboard events cleared
16.3891 	EXP 	grating: autoDraw = True
16.4059 	EXP 	fixation: autoDraw = False
16.6897 	EXP 	grating: autoDraw = False
17.0399 	EXP 	Device response: <KeyPress from None: t=17.032220499997493, value=right, duration=None>
17.0419 	DATA 	Keypress: right
17.0555 	EXP 	fixation: autoDraw = False
17.0555 	EXP 	grating: autoDraw = False
17.0555 	EXP 	grating: ori = np.float64(-9.0)
17.0555 	EXP 	fixation: autoDraw = True
17.1566 	EXP 	Device response: <KeyPress from None: t=17.032220499997493, value=right, duration=0.12025599999469705>
17.5394 	INFO 	Keyboard events cleared
17.5392 	EXP 	grating: autoDraw = True
17.5559 	EXP 	fixation: autoDraw = False
17.8387 	EXP 	grating: autoDraw = False
18.1069 	EXP 	Device response: <KeyPress from None: t=18.103286300000036, value=right, duration=None>
18.1086 	DATA 	Keypress: right
18.1221 	EXP 	fixation: autoDraw = False
18.1221 	EXP 	grating: autoDraw = False
18.1221 	EXP 	grating: ori = np.float64(-10.0)
18.1221 	EXP 	fixation: autoDraw = True
